,coint pv
1332 JT & 2282 JT,0.0009276225414420892
1332 JT & 3893 JT,0.017097791980162824
1332 JT & 7269 JT,0.014041119495448298
1332 JT & 9202 JT,0.04021022618318859
1333 JT & 1925 JT,0.040462969555017894
1333 JT & 1928 JT,0.023376134581045812
1333 JT & 2002 JT,0.022587264073603647
1333 JT & 2269 JT,0.028388969821394217
1333 JT & 2282 JT,0.048942442483756766
1333 JT & 2502 JT,0.012198016706656501
1333 JT & 2801 JT,0.01751427163178147
1333 JT & 2871 JT,0.028354556056817456
1333 JT & 3105 JT,0.0026137753138982586
1333 JT & 3402 JT,0.013516455322408381
1333 JT & 3405 JT,0.012620669840202959
1333 JT & 3407 JT,0.02213259150481292
1333 JT & 4005 JT,0.021798993555186632
1333 JT & 4042 JT,0.042463732817533434
1333 JT & 4061 JT,0.0024911290901217585
1333 JT & 4063 JT,0.03686883324184717
1333 JT & 4272 JT,0.03550589657942158
1333 JT & 4324 JT,0.0007593907216429357
1333 JT & 4452 JT,0.03509011728509371
1333 JT & 4507 JT,0.03636748024151076
1333 JT & 4523 JT,0.023414221692935024
1333 JT & 5108 JT,0.03160287585751341
1333 JT & 5406 JT,0.01601803812147783
1333 JT & 5411 JT,0.009244734225984154
1333 JT & 5711 JT,0.009271837976578613
1333 JT & 5713 JT,0.011822730568487455
1333 JT & 6305 JT,0.04456478092348649
1333 JT & 6367 JT,0.0044063679039718215
1333 JT & 6473 JT,0.010627195476872867
1333 JT & 6762 JT,0.03826797638174504
1333 JT & 6767 JT,0.02646676547701254
1333 JT & 6770 JT,0.04339758407900839
1333 JT & 6971 JT,0.03743782280755921
1333 JT & 7203 JT,0.027769686591261156
1333 JT & 7269 JT,0.04904135937787461
1333 JT & 7751 JT,0.0032764721107806706
1333 JT & 7951 JT,0.039152428095697224
1333 JT & 8035 JT,0.0007495882857438123
1333 JT & 8725 JT,0.02434116068360986
1333 JT & 9008 JT,0.019444143418078465
1333 JT & 9009 JT,0.02658088549978145
1333 JT & 9020 JT,0.0483542566459039
1333 JT & 9021 JT,0.04621005368762128
1333 JT & 9022 JT,0.021397735606834133
1333 JT & 9062 JT,0.03852536113619829
1333 JT & 9101 JT,0.026180279276265036
1333 JT & 9107 JT,0.03680518502650721
1333 JT & 9202 JT,0.0018429955111170843
1333 JT & 9301 JT,0.04064551033410079
1334 JT & 1605 JT,0.023032976591956966
